,Bitcoin,Ethereum
0,0.0,0.0005922287939877396
1,0.013129466398443333,0.00041889353721084025
2,0.010503782703126695,0.010530116849196637
3,0.01702043261587325,0.009648995960580732
4,0.03806144696040418,0.038112088861590517
5,0.0782630571942705,0.06492849826768023
6,0.0830910970267181,0.06251625144422575
7,0.11922038899574298,0.16006065997312355
8,0.14435095966101386,0.24502382500326703
9,0.12780037253986398,0.284732051354441
10,0.1912223542685354,0.19891664886730248
11,0.1806250206944773,0.20379893248882086
12,0.35608647512253855,0.20547451169327585
13,0.4175470188434221,0.33945542843484866
14,0.9804970865409747,0.5673623997203179
15,0.6438826565205858,0.5001949877192694
16,0.7716469867363788,0.8202296465372
17,0.760042547521527,0.6222374393725635
18,0.5723442941051207,0.7397587218003941
19,0.5036322582151738,0.5808247821634439
